"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"41","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","2","846","Avoid reassigning parameters such as 'space'","Best Practices","AvoidReassigningParameters"
"42","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","862","Public member 'writeNameRef' declared in a non-public type","Design","PublicMemberInNonPublicType"
"43","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","864","This if statement could be combined with its parent","Design","CollapsibleIfStatements"
"44","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","872","Public member 'writeName' declared in a non-public type","Design","PublicMemberInNonPublicType"
"45","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","876","Public member 'equalNames' declared in a non-public type","Design","PublicMemberInNonPublicType"
"46","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","885","Public member 'aliasesToJson' declared in a non-public type","Design","PublicMemberInNonPublicType"
"47","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","910","The method 'equals(Object)' is missing an @Override annotation.","Best Practices","MissingOverride"
"48","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","925","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"49","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","928","Field isError has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"50","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","930","Public member 'RecordSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"51","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","935","Public member 'RecordSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"52","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","1","938","Overridable method called during object construction: RecordSchema.setFields(List<Field>) ","Error Prone","ConstructorCallsOverridableMethod"
"53","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","972","Avoid using implementation types like 'LockableArrayList'; use the interface instead","Best Practices","LooseCoupling"
"54","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","977","Avoid assignment to i in operand","Error Prone","AssignmentInOperand"
"55","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","990","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"56","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1070","Access to field `aliases` on foreign value `f` (degree 1)","Design","LawOfDemeter"
"57","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1073","Access to field `aliases` on foreign value `f` (degree 1)","Design","LawOfDemeter"
"58","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1084","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"59","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1089","Public member 'EnumSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"60","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1089","Avoid using implementation types like 'LockableArrayList'; use the interface instead","Best Practices","LooseCoupling"
"61","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1096","Avoid assignment to i in operand","Error Prone","AssignmentInOperand"
"62","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1127","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"63","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1168","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"64","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1171","Public member 'ArraySchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"65","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1182","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"66","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1208","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"67","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1211","Public member 'MapSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"68","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1222","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"69","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1248","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"70","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1252","Public member 'UnionSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"71","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1252","Avoid using implementation types like 'LockableArrayList'; use the interface instead","Best Practices","LooseCoupling"
"72","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1265","Avoid assignment to index in operand","Error Prone","AssignmentInOperand"
"73","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1277","The method 'isValidDefault(JsonNode)' is missing an @Override annotation.","Best Practices","MissingOverride"
"74","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1292","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"75","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1330","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"76","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1333","Public member 'FixedSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"77","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1345","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"78","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1376","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"79","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1377","Public member 'StringSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"80","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1382","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"81","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1383","Public member 'BytesSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"82","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1388","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"83","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1389","Public member 'IntSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"84","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1394","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"85","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1395","Public member 'LongSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"86","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1400","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"87","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1401","Public member 'FloatSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"88","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1406","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"89","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1407","Public member 'DoubleSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"90","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1412","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"91","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1413","Public member 'BooleanSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"92","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1418","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"93","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1419","Public member 'NullSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
"94","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1439","Access to field `NO_VALIDATION` on foreign value `NameValidator` (degree 1)","Design","LawOfDemeter"
"95","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1444","Access to field `nameValidator` on foreign value `context` (degree 1)","Design","LawOfDemeter"
"96","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1560","Exception thrown at line 1,556 is caught in this block.","Design","ExceptionAsFlowControl"
"97","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1618","Access to field `UTF_VALIDATOR` on foreign value `NameValidator` (degree 1)","Design","LawOfDemeter"
"98","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1618","Access to field `NO_VALIDATION` on foreign value `NameValidator` (degree 1)","Design","LawOfDemeter"
"99","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1636","Field space has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"100","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1638","Public member 'Names' declared in a non-public type","Design","PublicMemberInNonPublicType"
"101","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1641","Public member 'Names' declared in a non-public type","Design","PublicMemberInNonPublicType"
"102","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1645","Public member 'space' declared in a non-public type","Design","PublicMemberInNonPublicType"
"103","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1649","Public member 'space' declared in a non-public type","Design","PublicMemberInNonPublicType"
"104","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1653","Public member 'get' declared in a non-public type","Design","PublicMemberInNonPublicType"
"105","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1666","Public member 'contains' declared in a non-public type","Design","PublicMemberInNonPublicType"
"106","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1670","Public member 'add' declared in a non-public type","Design","PublicMemberInNonPublicType"
"107","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1689","Access to field `UTF_VALIDATOR` on foreign value `NameValidator` (degree 1)","Design","LawOfDemeter"
"108","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1751","The method 'isValidDefault(Schema, JsonNode)' has a cognitive complexity of 29, current threshold is 15","Design","CognitiveComplexity"
"109","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1751","The method 'isValidDefault(Schema, JsonNode)' has a cyclomatic complexity of 26.","Design","CyclomaticComplexity"
"110","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1754","The switch block is exhaustive even without the default case","Best Practices","ExhaustiveSwitchHasDefault"
"111","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1825","The method 'parse(JsonNode, ParseContext, String)' has a cognitive complexity of 15, current threshold is 15","Design","CognitiveComplexity"
"112","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1825","The method 'parse(JsonNode, ParseContext, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"113","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1837","Avoid using literals such as 'enum' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"114","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1839","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"115","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1841","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"116","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1843","Avoid using literals such as 'fixed' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"117","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","2","1875","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"118","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1900","Enums should be compared using ==","Best Practices","EnumComparison"
"119","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1900","Enums should be compared using ==","Best Practices","EnumComparison"
"120","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1906","Access to field `aliases` on foreign value `f` (degree 1)","Design","LawOfDemeter"
"121","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1918","Avoid using implementation types like 'LockableArrayList'; use the interface instead","Best Practices","LooseCoupling"
"122","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","1970","Avoid using implementation types like 'LockableArrayList'; use the interface instead","Best Practices","LooseCoupling"
"123","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","1","2010","Return an empty collection rather than null.","Error Prone","ReturnEmptyCollectionRatherThanNull"
"124","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","1","2048","Avoid throwing raw exception type RuntimeException.","Design","AvoidThrowingRawExceptionTypes"
"125","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","2084","The method 'applyAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map<String, String>>)' has a cognitive complexity of 23, current threshold is 15","Design","CognitiveComplexity"
"126","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","2084","The method 'applyAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map<String, String>>)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"127","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","2087","Access to field `name` on foreign value `(NamedSchema) s` (degree 1)","Design","LawOfDemeter"
"128","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","2140","The method 'getAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map<String, String>>)' has a cognitive complexity of 30, current threshold is 15","Design","CognitiveComplexity"
"129","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","2140","The method 'getAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map<String, String>>)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"130","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","2145","Access to field `aliases` on foreign value `namedSchema` (degree 1)","Design","LawOfDemeter"
